Ad group,Keyword,Currency,Avg. Monthly Searches (exact match only),Searches: Oct 2013,Searches: Nov 2013,Searches: Dec 2013,Searches: Jan 2014,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Competition,Suggested bid
Tickets,sade tickets,USD,110,90,110,110,110,110,90,90,110,90,70,140,140,0.08,0.45
Tickets,go tickets,USD,1000,1300,1000,1000,1000,880,1000,1000,1000,1000,1000,1300,1300,0.19,0.44
Tickets,front row tickets,USD,2400,2400,2400,2900,2400,2400,2900,2900,2900,2400,2400,2900,2900,0.65,0.67
Tickets,vicente fernandez tickets,USD,320,320,390,390,320,260,210,210,210,390,320,260,590,0.25,1.3
Tickets,system of a down tickets,USD,140,140,170,140,140,110,110,110,110,110,90,140,140,0.31,1.41
Tickets,ticket sites,USD,1600,1600,1900,1600,1600,1600,1600,1600,1600,1300,1900,1900,1900,0.8,3.42
Tickets,resell tickets,USD,720,720,590,590,590,590,880,720,880,880,880,880,1000,0.65,3.2
Tickets,ticket liquidators,USD,880,1000,880,1000,720,720,880,880,880,720,720,1000,880,0.32,0.4
Tickets,justin bieber tickets uk,USD,70,140,170,140,70,50,40,30,90,70,50,50,20,0.39,
Tickets,justin beiber tickets,USD,170,260,590,390,210,90,110,110,90,70,70,70,70,0.53,0.76
Tickets,basketball tickets,USD,1900,2400,2900,3600,2900,2400,2400,1600,1300,880,720,1000,1600,0.5,1.13
Tickets,wembley tickets,USD,3600,4400,2400,880,2900,2900,8100,2900,8100,1000,1300,1900,2900,0.29,0.59
Tickets,vivid tickets,USD,12100,8100,8100,12100,9900,9900,12100,14800,14800,12100,9900,12100,12100,0.16,0.13
Tickets,goo goo dolls tickets,USD,720,480,210,480,480,720,1000,720,590,1000,1000,880,110,0.64,0.73
Tickets,madison square garden tickets,USD,2400,1900,2900,2900,2900,3600,4400,1900,1600,1600,1600,2400,2900,0.62,1.58
Tickets,texas rangers tickets,USD,18100,1600,1600,4400,3600,5400,22200,49500,33100,33100,33100,14800,12100,0.73,2.29
Tickets,ticket liquidator,USD,33100,27100,27100,27100,27100,33100,40500,40500,33100,33100,40500,40500,40500,0.31,1.03
Tickets,philadelphia phillies tickets,USD,1900,170,320,720,590,1000,1900,4400,4400,3600,2900,2400,1600,0.67,1.75
Tickets,mlb ticket,USD,590,390,140,170,170,320,880,1300,720,720,720,720,480,0.49,1.48
Tickets,black eyed peas tickets,USD,50,40,50,70,70,50,50,40,50,50,50,50,50,0.16,0.38
Tickets,padres tickets,USD,12100,390,390,720,1300,3600,12100,33100,22200,27100,22200,18100,9900,0.62,3.32
Tickets,pretty lights tickets,USD,720,2900,2900,480,140,70,90,480,110,140,260,480,90,0.42,3.26
Tickets,la galaxy tickets,USD,3600,2900,1600,880,1600,2900,3600,3600,2900,4400,12100,5400,4400,0.44,2.78
Tickets,washington nationals tickets,USD,9900,390,720,1300,1300,2900,8100,22200,14800,14800,18100,18100,12100,0.77,3.41
Tickets,phillies tickets,USD,18100,1300,2400,4400,4400,8100,14800,49500,49500,40500,27100,27100,12100,0.76,2.06
Tickets,boxing tickets,USD,2900,2400,2900,2900,1900,2900,6600,1900,2900,1900,1900,1600,2400,0.42,0.88
