,cluster,dist_to_0,dist_to_1,word,cluster_name
88,0,0.26657903314335063,0.8498704791228069,human,Stay Strong
89,0,0.17352651447350306,0.8480022652933503,important,Stay Strong
90,0,0.20423016464279214,0.9133813661630118,improve,Stay Strong
91,0,0.22422770145410428,0.8463715149766494,income,Stay Strong
92,0,0.21483049280457403,0.8094453375821381,increase,Stay Strong
93,0,0.2575863185111733,0.8660565672138284,interest,Stay Strong
94,0,0.19734403320703287,0.8204626009370162,job,Stay Strong
95,0,0.562321396217838,0.7256391766970247,jobs,Stay Strong
96,0,0.20530701449550873,0.9058568622070295,join,Stay Strong
97,0,0.15476185316732435,0.7898945528936765,keep,Stay Strong
98,0,0.4183040968537965,0.5730725275351538,last,Stay Strong
99,0,0.25688143948411857,0.8390160138817495,law,Stay Strong
100,0,0.22461158903477127,0.8712440745369574,leaders,Stay Strong
101,0,0.22570098381518572,0.8931505998700432,legislation,Stay Strong
102,0,0.23970473463187283,0.7373777935225294,life,Stay Strong
103,0,0.31424835495114845,0.7569806692210691,like,Stay Strong
104,0,0.22127220382804283,0.8659492028998517,live,Stay Strong
105,0,0.20860955211031101,0.8264603544366773,lives,Stay Strong
106,0,0.22593493044536236,0.7248559775198442,long,Stay Strong
107,0,0.22536010979162904,0.7731363665256312,made,Stay Strong
108,1,0.6023601923394848,0.3697307875080042,make,Help Nation
109,0,0.1826817245240825,0.8779105160116853,making,Stay Strong
110,0,0.17625883691339234,0.8748727007078038,may,Stay Strong
111,0,0.19961536703324767,0.8913524377701312,means,Stay Strong
112,0,0.2758052798770086,0.7886946270040621,meet,Stay Strong
113,0,0.23073301319927092,0.810920482278244,men,Stay Strong
114,0,0.2615661791724719,0.8173532050324864,military,Stay Strong
115,0,0.28389970958993027,0.7576309019619845,million,Stay Strong
116,0,0.17852788762075736,0.8560305922994222,millions,Stay Strong
117,0,0.2530932608269678,0.8365783720861292,money,Stay Strong
118,0,0.17838538911540117,0.8711748256225139,move,Stay Strong
119,1,1.6163341470875132,1.0590044583942493,must,Help Nation
120,1,0.7275059802415157,0.4469411982936326,nation,Help Nation
121,0,0.30817626005302345,0.6935451806874049,national,Stay Strong
122,0,0.4326830817620448,0.7455641472698775,nations,Stay Strong
123,0,0.35030534225391347,0.5863002687415073,need,Stay Strong
124,0,0.20946404126165133,0.853651223572945,needs,Stay Strong
125,0,0.24531147541844706,0.7757048285648201,never,Stay Strong
126,1,1.2776925882870394,0.6753131053169628,new,Help Nation
127,0,0.22476023637918546,0.7009947657858359,next,Stay Strong
128,0,0.2844736017004155,0.8199392487035962,nuclear,Stay Strong
129,0,0.1811712582773401,0.9028027519914502,old,Stay Strong
