Ad group,Keyword,Currency,Avg. Monthly Searches (exact match only),Searches: Oct 2013,Searches: Nov 2013,Searches: Dec 2013,Searches: Jan 2014,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Competition,Suggested bid
Tickets,example tickets,USD,720,390,390,390,480,720,320,210,320,320,590,2900,1300,0.47,0.91
Tickets,clippers tickets,USD,9900,6600,12100,12100,9900,12100,12100,18100,14800,1600,2400,4400,2900,0.76,4.34
Tickets,kings tickets,USD,5400,5400,8100,9900,6600,4400,5400,4400,8100,8100,480,880,2400,0.75,3.26
Tickets,kesha tickets,USD,390,480,720,1000,720,390,390,210,170,210,210,170,170,0.15,0.97
Tickets,duran duran tickets,USD,90,90,110,90,50,70,70,70,70,90,110,170,210,0.31,1.36
Tickets,jason derulo tickets,USD,3600,5400,3600,4400,4400,4400,5400,4400,2400,1600,1000,1600,1000,0.47,1.1
Tickets,gorillaz tickets,USD,70,70,90,70,70,70,50,50,90,70,70,70,70,0.11,0.1
Tickets,eagles tickets,USD,18100,18100,33100,33100,14800,4400,8100,5400,9900,27100,12100,27100,33100,0.84,4.55
Tickets,sade tickets,USD,110,90,110,110,110,110,90,90,110,90,70,140,140,0.08,0.45
Tickets,go tickets,USD,1000,1300,1000,1000,1000,880,1000,1000,1000,1000,1000,1300,1300,0.19,0.44
Tickets,resell tickets,USD,720,720,590,590,590,590,880,720,880,880,880,880,1000,0.65,3.2
Tickets,basketball tickets,USD,1900,2400,2900,3600,2900,2400,2400,1600,1300,880,720,1000,1600,0.5,1.13
Tickets,wembley tickets,USD,3600,4400,2400,880,2900,2900,8100,2900,8100,1000,1300,1900,2900,0.29,0.59
Tickets,vivid tickets,USD,12100,8100,8100,12100,9900,9900,12100,14800,14800,12100,9900,12100,12100,0.16,0.13
Tickets,angels tickets,USD,12100,480,480,1300,880,3600,9900,18100,18100,18100,33100,27100,18100,0.77,3.13
Tickets,baseball tickets for sale,USD,140,140,40,50,50,40,90,320,320,210,90,170,40,0.91,1.64
Tickets,san francisco giants tickets,USD,8100,880,1000,1900,1900,2900,6600,18100,14800,14800,12100,8100,6600,0.76,3.39
Tickets,black eyed peas tickets,USD,50,40,50,70,70,50,50,40,50,50,50,50,50,0.16,0.38
Tickets,angel tickets,USD,3600,170,110,320,260,1000,3600,6600,5400,5400,6600,6600,3600,0.75,1.52
Tickets,la galaxy tickets,USD,3600,2900,1600,880,1600,2900,3600,3600,2900,4400,12100,5400,4400,0.44,2.78
Tickets,washington nationals tickets,USD,9900,390,720,1300,1300,2900,8100,22200,14800,14800,18100,18100,12100,0.77,3.41
Tickets,us open tennis tickets,USD,8100,260,320,390,720,590,1300,2900,4400,14800,14800,40500,22200,0.87,9.42
Tickets,marlins tickets,USD,5400,320,210,390,390,720,3600,9900,14800,14800,9900,9900,6600,0.63,2.07
Tickets,mets tickets,USD,14800,880,1900,3600,1900,4400,14800,33100,33100,27100,27100,27100,12100,0.67,1.78
Tickets,dallas cowboys tickets,USD,27100,49500,33100,33100,3600,2400,3600,14800,18100,14800,22200,49500,74000,0.84,6.9
Tickets,rockies tickets,USD,14800,390,390,1000,1300,2400,8100,33100,33100,40500,33100,18100,8100,0.72,2.12
Tickets,atlanta braves tickets,USD,14800,5400,1300,2400,1900,4400,9900,33100,33100,27100,27100,18100,8100,0.76,2.72
Tickets,arsenal tickets,USD,40500,49500,40500,49500,60500,40500,40500,27100,12100,9900,27100,40500,40500,0.74,1.26
Tickets,yankees tickets,USD,33100,2900,2900,6600,5400,22200,22200,49500,49500,49500,60500,49500,49500,0.8,8.42
Tickets,detroit tigers tickets,USD,18100,18100,1000,2400,2900,5400,14800,33100,33100,33100,33100,27100,22200,0.72,2.64
Tickets,seattle mariners tickets,USD,9900,390,590,1300,1900,2900,6600,18100,18100,18100,18100,18100,9900,0.63,3.11
Tickets,buffalo bills tickets,USD,8100,12100,8100,4400,590,590,880,2900,2400,4400,8100,18100,27100,0.83,6.44
Tickets,st louis cardinals tickets,USD,14800,27100,1600,4400,3600,6600,12100,22200,22200,18100,22200,14800,12100,0.73,3.29
Tickets,nitro circus tickets,USD,5400,5400,9900,14800,22200,4400,2900,1900,3600,880,720,880,2400,0.16,0.28
Tickets,detroit lions tickets,USD,9900,22200,18100,12100,1000,880,880,2900,2900,3600,9900,22200,33100,0.76,7.04
Tickets,twickenham tickets,USD,2900,3600,6600,3600,3600,2900,2900,3600,6600,1300,880,1600,1900,0.54,1.93
Tickets,us open tickets,USD,22200,880,1000,1900,2900,1900,3600,6600,8100,27100,22200,135000,49500,0.91,8.23
Tickets,tickets on sale,USD,590,480,590,480,590,590,720,590,590,590,590,480,590,0.65,2.14
Tickets,angels baseball tickets,USD,2400,110,140,390,480,1000,3600,4400,4400,3600,5400,4400,3600,0.62,2.2
Tickets,mariners tickets,USD,18100,720,720,2400,1600,2900,9900,40500,33100,40500,40500,40500,27100,0.59,2.44
Tickets,wembley stadium tickets,USD,1300,1900,1300,590,1300,880,2900,1300,2900,720,720,880,880,0.41,0.91
Tickets,ny yankees tickets,USD,4400,480,480,880,720,2900,2900,6600,6600,6600,8100,8100,6600,0.77,8.5
Tickets,milwaukee brewers tickets,USD,5400,170,390,880,880,1900,4400,12100,9900,9900,9900,8100,3600,0.79,2.51
Tickets,masters tickets,USD,8100,1900,1900,2400,6600,6600,12100,33100,9900,6600,6600,2900,2400,0.69,1.79
Tickets,pirates tickets,USD,12100,12100,1900,2900,1600,1900,8100,18100,22200,27100,22200,22200,18100,0.68,3.07
Tickets,cubs tickets,USD,22200,1000,1600,2400,2900,5400,18100,40500,40500,49500,49500,40500,18100,0.69,2.77
Tickets,new york yankees tickets,USD,9900,2400,1900,2900,4400,9900,9900,14800,12100,14800,18100,14800,12100,0.71,5.55
Tickets,tigers tickets,USD,14800,18100,1300,1300,1300,1600,8100,22200,27100,27100,27100,22200,22200,0.67,2.56
Tickets,chicago bears tickets,USD,9900,18100,12100,9900,1000,880,1300,4400,4400,5400,14800,22200,27100,0.83,9.25
Tickets,new york mets tickets,USD,2400,390,390,720,720,1300,2900,4400,4400,3600,4400,3600,1900,0.64,2.36
Tickets,arizona diamondbacks tickets,USD,2400,170,140,320,320,720,2400,4400,4400,5400,4400,3600,2400,0.64,2.2
Tickets,ace tickets,USD,27100,49500,22200,22200,18100,18100,22200,33100,22200,18100,22200,22200,22200,0.19,0.31
Tickets,braves tickets,USD,22200,12100,1000,1900,1600,3600,8100,49500,49500,40500,40500,33100,12100,0.73,2.5
Tickets,wwe raw tickets,USD,2900,2400,2900,2900,4400,3600,4400,2900,2900,3600,3600,2900,2900,0.78,1.03
Tickets,bears tickets,USD,8100,14800,12100,9900,720,590,720,1900,1900,2900,8100,14800,18100,0.77,8.43
Tickets,world series tickets,USD,8100,90500,390,260,260,210,170,210,260,320,390,480,1900,0.5,0.67
Tickets,philadelphia eagles tickets,USD,5400,6600,4400,8100,2400,590,880,1900,2900,2400,4400,9900,14800,0.84,7.12
Tickets,find tickets online,USD,90,70,70,50,90,110,110,90,110,70,50,70,90,0.69,2.22
Tickets,jets tickets,USD,5400,14800,9900,8100,1900,1300,1600,1900,1300,1300,2900,8100,18100,0.77,7.97
Tickets,chicago cubs tickets,USD,14800,1000,1300,2400,2900,5400,12100,27100,22200,27100,27100,22200,9900,0.73,3.53
Tickets,baltimore orioles tickets,USD,8100,320,720,1900,2400,4400,9900,14800,12100,14800,14800,14800,14800,0.82,3.56
Tickets,disney on ice tickets,USD,18100,22200,33100,49500,40500,27100,14800,9900,6600,5400,5400,4400,12100,0.69,0.78
Tickets,houston texans tickets,USD,6600,9900,12100,5400,880,720,880,1900,2900,2400,5400,12100,18100,0.82,5.89
Tickets,spring training tickets,USD,1600,90,320,720,1900,4400,9900,90,50,40,20,20,50,0.16,
Tickets,chelsea fc tickets,USD,9900,9900,9900,9900,12100,12100,12100,12100,1900,1900,8100,12100,14800,0.71,1.36
Tickets,spurs tickets,USD,22200,12100,22200,27100,22200,14800,27100,27100,49500,49500,3600,8100,12100,0.7,3.38
Tickets,cowboys tickets,USD,6600,12100,9900,12100,880,590,880,3600,5400,3600,5400,12100,18100,0.7,6.7
Tickets,carolina panthers tickets,USD,9900,9900,18100,14800,14800,880,1000,3600,4400,3600,8100,18100,22200,0.79,6.89
Tickets,capital tickets,USD,14800,14800,22200,27100,18100,18100,12100,9900,6600,5400,8100,6600,12100,0.05,2.74
Tickets,chelsea lately tickets,USD,5400,5400,5400,4400,8100,6600,6600,5400,5400,5400,5400,4400,480,0.06,1.53
Tickets,miami dolphins tickets,USD,6600,9900,8100,12100,1300,880,1000,2900,2900,2900,5400,12100,14800,0.82,8.2
Tickets,pittsburgh penguins tickets,USD,4400,8100,8100,8100,6600,3600,5400,5400,2900,590,1000,1600,3600,0.78,3.53
Tickets,new orleans saints tickets,USD,5400,9900,9900,6600,1000,480,720,3600,2900,2900,6600,12100,12100,0.88,7.37
Tickets,rugby tickets,USD,4400,5400,6600,3600,3600,4400,3600,2400,3600,3600,2400,2900,8100,0.56,2.04
Tickets,brewers tickets,USD,14800,320,590,1000,1000,2400,8100,33100,27100,27100,27100,22200,9900,0.74,2.5
Tickets,lions tickets,USD,5400,12100,9900,8100,590,480,590,1000,1000,1000,3600,9900,18100,0.71,5.87
Tickets,jamiroquai tickets,USD,50,70,90,90,70,30,40,30,50,40,40,30,50,0.12,2.39
Tickets,houston astros tickets,USD,5400,390,320,590,880,1900,6600,12100,9900,12100,9900,8100,2900,0.71,1.98
Tickets,arizona cardinals tickets,USD,5400,6600,6600,6600,590,590,720,2400,2400,2900,6600,12100,14800,0.78,8.37
Tickets,blackhawks tickets,USD,18100,22200,22200,33100,18100,9900,18100,18100,27100,4400,2900,8100,12100,0.8,5.49
Tickets,cleveland browns tickets,USD,5400,9900,5400,1900,320,260,480,1300,4400,2400,5400,12100,14800,0.8,6.64
Tickets,bulls tickets,USD,12100,27100,22200,22200,18100,12100,22200,12100,1300,1000,2400,6600,9900,0.6,1.57
Tickets,nationals tickets,USD,14800,480,720,1300,1300,3600,8100,33100,22200,22200,27100,27100,22200,0.73,3.34
Tickets,knicks tickets,USD,18100,22200,33100,40500,40500,27100,22200,9900,1900,1300,2900,9900,9900,0.72,3.48
Tickets,music tickets online,USD,40,70,90,50,40,10,10,20,20,20,40,50,70,0.55,1.31
Tickets,atlanta falcons tickets,USD,5400,8100,6600,6600,880,720,1000,2400,3600,2900,5400,14800,18100,0.83,5.66
Tickets,new york giants tickets,USD,2900,5400,5400,2900,1000,720,720,1600,1600,1600,2900,5400,8100,0.8,6.5
Tickets,baltimore ravens tickets,USD,2900,4400,3600,2900,390,390,480,1300,1300,1600,3600,6600,8100,0.87,9.95
Tickets,manchester city tickets,USD,5400,3600,4400,8100,12100,8100,4400,3600,2900,1000,2400,5400,6600,0.69,1.23
Tickets,chelsea tickets,USD,22200,22200,22200,27100,27100,22200,27100,22200,4400,3600,14800,27100,33100,0.8,1.37
Tickets,canucks tickets,USD,4400,8100,9900,9900,6600,2900,5400,1900,210,480,1000,1600,8100,0.81,2.43
Tickets,sale tickets,USD,260,210,260,320,260,210,260,260,260,260,320,320,260,0.63,1.45
Tickets,vancouver canucks tickets,USD,2900,5400,4400,5400,3600,1900,2900,1000,260,480,1000,1600,4400,0.82,2.33
Tickets,nation tickets,USD,390,260,390,390,320,390,590,480,320,320,390,320,210,0.37,0.82
Tickets,new york jets tickets,USD,1900,4400,2400,1300,480,390,390,1300,1300,1300,2400,4400,6600,0.8,9.17
Tickets,brewer tickets,USD,2400,50,70,170,260,720,2400,6600,4400,4400,3600,3600,1300,0.79,2.37
Tickets,chicago blackhawks tickets,USD,8100,12100,12100,18100,12100,5400,9900,8100,9900,1900,2400,5400,8100,0.83,4.65
Tickets,mlb ticket exchange,USD,1600,1300,70,170,260,590,1600,2900,1900,1900,2400,1900,2900,0.39,3.33
Tickets,orioles tickets,USD,22200,720,1000,2900,2400,5400,18100,33100,33100,40500,40500,49500,49500,0.72,2.97
Tickets,texans tickets,USD,5400,9900,12100,6600,720,480,480,1300,1900,1600,4400,9900,18100,0.78,6.72
Tickets,nashville predators tickets,USD,3600,5400,5400,6600,5400,3600,4400,1300,320,590,1000,1300,2900,0.73,3.9
Tickets,new england patriots tickets,USD,4400,6600,4400,3600,2400,480,720,1900,1900,2400,6600,8100,8100,0.82,4.09
Tickets,x games tickets,USD,1300,320,320,320,2400,880,720,1300,2400,5400,320,210,170,0.12,1.38
Tickets,diamondback tickets,USD,1900,70,70,210,260,590,2400,4400,2900,2900,3600,3600,1300,0.66,1.95
Tickets,sounders tickets,USD,4400,5400,2400,880,880,1900,6600,4400,8100,4400,9900,6600,5400,0.5,3.17
Tickets,indianapolis colts tickets,USD,2400,3600,1900,2900,2900,260,260,880,880,880,2400,4400,5400,0.79,6.71
Tickets,tiger tickets,USD,3600,2900,260,390,390,720,2900,6600,6600,5400,5400,4400,4400,0.78,2.28
Tickets,colts tickets,USD,8100,14800,9900,14800,14800,590,720,1600,1900,1600,6600,12100,22200,0.79,6.34
Tickets,harlem globetrotters tickets,USD,4400,1000,1900,8100,18100,12100,4400,1600,590,480,390,260,480,0.71,1.44
Tickets,minnesota vikings tickets,USD,2400,5400,2900,3600,390,260,260,1000,1000,1000,2900,5400,5400,0.78,7.02
Tickets,patriots tickets,USD,12100,22200,18100,14800,9900,880,1300,4400,3600,3600,9900,18100,27100,0.72,4.23
Tickets,ravens tickets,USD,5400,8100,9900,8100,480,390,480,1300,1600,1900,5400,12100,18100,0.84,6.16
Tickets,sf giants tickets,USD,18100,880,1900,4400,2900,5400,12100,33100,33100,40500,33100,22200,18100,0.76,3.17
Tickets,tampa bay lightning tickets,USD,6600,12100,9900,12100,8100,6600,9900,12100,590,1000,1600,1900,5400,0.71,2.86
Tickets,utah jazz tickets,USD,3600,4400,6600,8100,6600,5400,4400,1900,390,320,590,1300,1300,0.77,2.22
Tickets,cowboy tickets,USD,1600,3600,2400,2400,110,90,110,480,880,720,1300,3600,4400,0.83,2.84
Tickets,tickets arsenal,USD,1300,1600,1600,1600,1900,1600,880,720,170,320,880,1600,1600,0.89,1.24
Tickets,vikings tickets,USD,5400,12100,8100,9900,590,390,320,1300,1600,1300,4400,9900,14800,0.79,8.84
Tickets,dallas stars tickets,USD,5400,8100,8100,9900,8100,4400,8100,9900,390,720,1300,2400,5400,0.77,2.46
Tickets,lsu tickets,USD,1900,2400,1600,590,390,480,590,590,720,720,1900,4400,9900,0.83,1.86
Tickets,bills tickets,USD,2400,4400,2900,1600,140,140,320,880,720,1000,1600,5400,12100,0.83,5.88
Tickets,white sox tickets,USD,9900,480,390,880,1000,2900,8100,18100,22200,18100,18100,14800,12100,0.69,1.85
Tickets,astros tickets,USD,9900,590,390,590,720,1900,8100,22200,14800,22200,18100,14800,6600,0.75,2.54
Tickets,world cup tickets,USD,33100,22200,27100,33100,22200,18100,27100,27100,40500,135000,27100,1000,9900,0.14,0.52
Tickets,boston bruins tickets,USD,12100,18100,22200,18100,12100,9900,12100,14800,8100,1300,2900,6600,12100,0.87,3.41
Tickets,toronto maple leafs tickets,USD,9900,18100,14800,18100,14800,8100,9900,2400,880,1600,2400,3600,9900,0.86,2.01
Tickets,panthers tickets,USD,9900,9900,18100,18100,14800,1900,2400,2900,2400,2400,5400,14800,22200,0.66,1.78
Tickets,blackhawk tickets,USD,2400,3600,2900,5400,2400,1300,1900,1900,3600,480,480,1000,1900,0.86,5.07
Tickets,maple leaf tickets,USD,2900,4400,3600,4400,3600,2900,2900,1900,1900,1900,1900,2400,3600,0.74,2.35
Tickets,saints tickets,USD,8100,14800,14800,12100,1900,1000,1300,2400,2900,2400,5400,14800,18100,0.73,9.77
Tickets,florida marlins tickets,USD,390,50,50,90,170,140,480,880,590,720,590,480,320,0.54,1.32
Tickets,steeler tickets,USD,1600,1900,1900,1900,170,90,140,590,880,720,1600,3600,4400,0.84,4.41
